#EleNb	X	Y	Z	Solution	Assigned	Total
809	0.045	-0.001325	0.105	-1.806989208728024e-05	0	-1.806989208728024e-05
810	0.045	-0.001325	0.135	-1.807499949026521e-05	0	-1.807499949026521e-05
811	0.075	-0.001325	-0.135	-1.807501447761121e-05	0	-1.807501447761121e-05
812	0.075	-0.001325	-0.105	-1.806990695738919e-05	0	-1.806990695738919e-05
813	0.075	-0.001325	-0.075	-1.806982861333891e-05	0	-1.806982861333891e-05
814	0.075	-0.001325	-0.045	-1.806981204297514e-05	0	-1.806981204297514e-05
815	0.075	-0.001325	-0.015	-1.80698078845877e-05	0	-1.80698078845877e-05
816	0.075	-0.001325	0.015	-1.806980788395286e-05	0	-1.806980788395286e-05
817	0.075	-0.001325	0.045	-1.806981204201282e-05	0	-1.806981204201282e-05
818	0.075	-0.001325	0.075	-1.806982861293814e-05	0	-1.806982861293814e-05
819	0.075	-0.001325	0.105	-1.806990695799406e-05	0	-1.806990695799406e-05
820	0.075	-0.001325	0.135	-1.807501447686064e-05	0	-1.807501447686064e-05
821	0.105	-0.001325	-0.135	-1.807507593436549e-05	0	-1.807507593436549e-05
822	0.105	-0.001325	-0.105	-1.806997923113027e-05	0	-1.806997923113027e-05
823	0.105	-0.001325	-0.075	-1.806990695797531e-05	0	-1.806990695797531e-05
824	0.105	-0.001325	-0.045	-1.806989208698258e-05	0	-1.806989208698258e-05
825	0.105	-0.001325	-0.015	-1.806988840319444e-05	0	-1.806988840319444e-05
826	0.105	-0.001325	0.015	-1.806988840307841e-05	0	-1.806988840307841e-05
827	0.105	-0.001325	0.045	-1.806989208697324e-05	0	-1.806989208697324e-05
828	0.105	-0.001325	0.075	-1.806990695828813e-05	0	-1.806990695828813e-05
829	0.105	-0.001325	0.105	-1.806997923162532e-05	0	-1.806997923162532e-05
830	0.105	-0.001325	0.135	-1.807507593503501e-05	0	-1.807507593503501e-05
831	0.135	-0.001325	-0.135	-1.807976381128867e-05	0	-1.807976381128867e-05
832	0.135	-0.001325	-0.105	-1.80750759320128e-05	0	-1.80750759320128e-05
833	0.135	-0.001325	-0.075	-1.807501447568189e-05	0	-1.807501447568189e-05
834	0.135	-0.001325	-0.045	-1.807499948948559e-05	0	-1.807499948948559e-05
835	0.135	-0.001325	-0.015	-1.807499524263856e-05	0	-1.807499524263856e-05
836	0.135	-0.001325	0.015	-1.807499524180379e-05	0	-1.807499524180379e-05
837	0.135	-0.001325	0.045	-1.807499948980291e-05	0	-1.807499948980291e-05
838	0.135	-0.001325	0.075	-1.807501447751252e-05	0	-1.807501447751252e-05
839	0.135	-0.001325	0.105	-1.807507593328578e-05	0	-1.807507593328578e-05
840	0.135	-0.001325	0.135	-1.807976381128359e-05	0	-1.807976381128359e-05
841	-0.135	0.000125	0.135	0.0001626088821801368	0	0.0001626088821801368
842	-0.135	0.000125	0.105	0.0001626178247395553	0	0.0001626178247395553
843	-0.135	0.000125	0.075	0.0001626179411934603	0	0.0001626179411934603
