#EleNb	X	Y	Z	Solution	Assigned	Total
1207	-0.0015	0.001325	-0.0045	3.975428770181953e-06	0	3.975428770181953e-06
1208	-0.0015	0.001325	-0.0075	3.975439160797344e-06	0	3.975439160797344e-06
1209	-0.0015	0.001325	-0.0105	3.97838439534605e-06	0	3.97838439534605e-06
1210	-0.0015	0.001325	-0.0135	4.087001860269507e-06	0	4.087001860269507e-06
1211	0.0015	0.001325	0.0135	4.087001860314429e-06	0	4.087001860314429e-06
1212	0.0015	0.001325	0.0105	3.978384395329534e-06	0	3.978384395329534e-06
1213	0.0015	0.001325	0.0075	3.975439160807215e-06	0	3.975439160807215e-06
1214	0.0015	0.001325	0.0045	3.975428770200097e-06	0	3.975428770200097e-06
1215	0.0015	0.001325	0.0015	3.975396459956941e-06	0	3.975396459956941e-06
1216	0.0015	0.001325	-0.0015	3.975396459988446e-06	0	3.975396459988446e-06
1217	0.0015	0.001325	-0.0045	3.975428770219197e-06	0	3.975428770219197e-06
1218	0.0015	0.001325	-0.0075	3.975439160818002e-06	0	3.975439160818002e-06
1219	0.0015	0.001325	-0.0105	3.978384395359019e-06	0	3.978384395359019e-06
1220	0.0015	0.001325	-0.0135	4.087001860325533e-06	0	4.087001860325533e-06
1221	0.0045	0.001325	0.0135	4.087013307746528e-06	0	4.087013307746528e-06
1222	0.0045	0.001325	0.0105	3.978405164725786e-06	0	3.978405164725786e-06
1223	0.0045	0.001325	0.0075	3.975467980551095e-06	0	3.975467980551095e-06
1224	0.0045	0.001325	0.0045	3.975460233023489e-06	0	3.975460233023489e-06
1225	0.0045	0.001325	0.0015	3.975428770201657e-06	0	3.975428770201657e-06
1226	0.0045	0.001325	-0.0015	3.975428770218254e-06	0	3.975428770218254e-06
1227	0.0045	0.001325	-0.0045	3.975460233044529e-06	0	3.975460233044529e-06
1228	0.0045	0.001325	-0.0075	3.975467980576313e-06	0	3.975467980576313e-06
1229	0.0045	0.001325	-0.0105	3.978405164725956e-06	0	3.978405164725956e-06
1230	0.0045	0.001325	-0.0135	4.087013307674636e-06	0	4.087013307674636e-06
1231	0.0075	0.001325	0.0135	4.087115059728599e-06	0	4.087115059728599e-06
1232	0.0075	0.001325	0.0105	3.978419717766031e-06	0	3.978419717766031e-06
1233	0.0075	0.001325	0.0075	3.97547172653441e-06	0	3.97547172653441e-06
1234	0.0075	0.001325	0.0045	3.975467980577786e-06	0	3.975467980577786e-06
1235	0.0075	0.001325	0.0015	3.975439160805132e-06	0	3.975439160805132e-06
1236	0.0075	0.001325	-0.0015	3.975439160824461e-06	0	3.975439160824461e-06
1237	0.0075	0.001325	-0.0045	3.975467980596722e-06	0	3.975467980596722e-06
1238	0.0075	0.001325	-0.0075	3.975471726515413e-06	0	3.975471726515413e-06
1239	0.0075	0.001325	-0.0105	3.978419717771546e-06	0	3.978419717771546e-06
1240	0.0075	0.001325	-0.0135	4.087115059739175e-06	0	4.087115059739175e-06
1241	0.0105	0.001325	0.0135	4.087197304187995e-06	0	4.087197304187995e-06
1242	0.0105	0.001325	0.0105	3.980896472818028e-06	0	3.980896472818028e-06
1243	0.0105	0.001325	0.0075	3.978419717808967e-06	0	3.978419717808967e-06
1244	0.0105	0.001325	0.0045	3.978405164767353e-06	0	3.978405164767353e-06
1245	0.0105	0.001325	0.0015	3.978384395336848e-06	0	3.978384395336848e-06
1246	0.0105	0.001325	-0.0015	3.978384395315293e-06	0	3.978384395315293e-06
1247	0.0105	0.001325	-0.0045	3.978405164733522e-06	0	3.978405164733522e-06
1248	0.0105	0.001325	-0.0075	3.978419717793883e-06	0	3.978419717793883e-06
1249	0.0105	0.001325	-0.0105	3.980896472731037e-06	0	3.980896472731037e-06
1250	0.0105	0.001325	-0.0135	4.08719730419962e-06	0	4.08719730419962e-06
1251	0.0135	0.001325	0.0135	4.230774881220939e-06	0	4.230774881220939e-06
1252	0.0135	0.001325	0.0105	4.087197304332265e-06	0	4.087197304332265e-06
1253	0.0135	0.001325	0.0075	4.087115059703368e-06	0	4.087115059703368e-06
